STATE/UT,Year,TYPE,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,TOTAL
DELHI (UT),2006,Road Accidents,718,726,868,779,796,754,846,863,804,832,865,848,9699
DELHI (UT),2006,Rail-Road Accidents,0,0,0,0,0,1,0,0,0,0,0,0,1
DELHI (UT),2006,Other Railway Accidents,68,59,91,81,62,82,85,81,82,81,76,76,924
DELHI (UT),2006,Total,786,785,959,860,858,837,931,944,886,913,941,924,10624
DELHI (UT),2007,Road Accidents,818,809,839,786,752,757,834,768,833,1196,921,1215,10528
DELHI (UT),2007,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,1,1,0,2
DELHI (UT),2007,Other Railway Accidents,63,52,74,71,72,75,95,81,83,102,68,69,905
DELHI (UT),2007,Total,881,861,913,857,824,832,929,849,916,1299,990,1284,11435
DELHI (UT),2008,Road Accidents,698,696,780,747,713,691,731,721,707,704,671,707,8566
DELHI (UT),2008,Rail-Road Accidents,0,0,0,0,0,0,0,1,0,0,0,0,1
DELHI (UT),2008,Other Railway Accidents,89,65,99,91,96,94,111,105,85,103,83,78,1099
DELHI (UT),2008,Total,787,761,879,838,809,785,842,827,792,807,754,785,9666
DELHI (UT),2009,Road Accidents,607,632,644,646,657,565,610,707,609,639,642,656,7614
DELHI (UT),2009,Rail-Road Accidents,1,0,0,1,0,0,0,0,1,0,0,0,3
DELHI (UT),2009,Other Railway Accidents,96,76,90,96,113,121,138,135,128,128,103,107,1331
DELHI (UT),2009,Total,704,708,734,743,770,686,748,842,738,767,745,763,8948
DELHI (UT),2010,Road Accidents,559,574,616,569,639,545,640,600,574,614,652,638,7220
DELHI (UT),2010,Rail-Road Accidents,0,0,0,0,0,0,1,1,0,0,1,0,3
DELHI (UT),2010,Other Railway Accidents,85,100,145,132,128,128,127,151,108,134,134,120,1492
DELHI (UT),2010,Total,644,674,761,701,767,673,768,752,682,748,787,758,8715
DELHI (UT),2011,Road Accidents,562,619,631,575,606,570,633,637,589,685,593,580,7280
DELHI (UT),2011,Rail-Road Accidents,0,1,0,1,1,0,0,3,1,0,0,0,7
DELHI (UT),2011,Other Railway Accidents,103,115,111,118,119,113,137,140,120,110,132,91,1409
DELHI (UT),2011,Total,665,735,742,694,726,683,770,780,710,795,725,671,8696
DELHI (UT),2012,Road Accidents,540,544,570,556,554,556,571,554,658,603,625,606,6937
DELHI (UT),2012,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,1,0,0,1
DELHI (UT),2012,Other Railway Accidents,107,114,98,82,134,96,104,108,122,110,98,85,1258
DELHI (UT),2012,Total,647,658,668,638,688,652,675,662,780,714,723,691,8196
LAKSHADWEEP,2001,Road Accidents,2,0,0,0,0,0,0,0,2,1,1,0,6
LAKSHADWEEP,2001,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,2001,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,2001,Total,2,0,0,0,0,0,0,0,2,1,1,0,6
LAKSHADWEEP,2002,Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,2002,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,2002,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,2002,Total,0,0,0,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,2003,Road Accidents,0,0,0,0,0,0,0,0,0,0,1,0,1
LAKSHADWEEP,2003,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,2003,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,2003,Total,0,0,0,0,0,0,0,0,0,0,1,0,1
LAKSHADWEEP,2004,Road Accidents,0,1,0,0,0,0,0,0,0,0,1,0,2
LAKSHADWEEP,2004,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,2004,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,2004,Total,0,1,0,0,0,0,0,0,0,0,1,0,2
LAKSHADWEEP,2005,Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,2005,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,2005,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,2005,Total,0,0,0,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,2006,Road Accidents,0,0,0,0,0,0,1,0,0,0,0,0,1
LAKSHADWEEP,2006,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,2006,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,2006,Total,0,0,0,0,0,0,1,0,0,0,0,0,1
LAKSHADWEEP,2007,Road Accidents,1,0,0,1,0,0,0,0,0,0,0,0,2
LAKSHADWEEP,2007,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,2007,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,2007,Total,1,0,0,1,0,0,0,0,0,0,0,0,2
LAKSHADWEEP,2008,Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,2008,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,2008,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
